group #1,
,209450
,193164
,234887
group #2,
,253579
,188560
,267151
group #3,
,272817
,203325
,202549
group #4,
,201253
,233845
,256292
group #5,
,201034
,266832
,271688
group #6,
,223552
,236252
,225711
group #7,
,196065
,273516
,269412
group #8,
,224639
,217154
,217059
group #9,
,194394
,233800
,271370
group #10,
,223613
,238333
,259559
group #11,
,223287
,216760
,273351
group #12,
,228354
,201746
,214271
group #13,
,242779
,269057
,214398
group #14,
,264734
,268769
,236234
group #15,
,216811
,272066
,225096
group #16,
,228219
,268704
,254962
group #17,
,266983
,260872
,214757
group #18,
,266850
,223583
,273531
group #19,
,227400
,233931
,228401
group #20,
,235689
,272318
,253734
group #21,
,225447
,271690
,272086
group #22,
,213542
,255626
,204869
group #23,
,272785
,271691
,204988
group #24,
,254652
,228133
,227942
group #25,
,259888
,268480
,175410
group #26,
,236725
,227778
,234231
group #27,
,255191
,236608
,228408
group #28,
,272324
,251723
,271189
group #29,
,258600
,238470
,256256
group #30,
,272070
,248358
,236802
group #31,
,234840
,251253
,195069
group #32,
,260351
,236377
,224304
group #33,
,228278
,273156
,256810
group #34,
,224640
,268578
,225064
group #35,
,256772
,233387
,251522
group #36,
,231027
,268422
,213376
group #37,
,260960
,256608
,226658
group #38,
,236613
,227623
,214750
group #39,
,216705
,268577
,226312
group #40,
,271538
,224207
,225730
group #41,
,213911
,224117
,268938
group #42,
,271334
,229447
,223720
group #43,
,227510
,227244
,195781
group #44,
,260971
,200613
,216652
group #45,
,234033
,255262
,273237
group #46,
,226745
,202293
,235014
group #47,
,220148
,261275
,240582
group #48,
,271853
,273251
,239314
group #49,
,256019
,272175
,216451
group #50,
,260159
,258813
,256198
group #51,
,186020
,234453
,235020
group #52,
,271711
,273107
,272058
group #53,
,273688
,223485
,212079
group #54,
,268952
,270984
,216723
group #55,
,208396
,224686
,273182
group #56,
,235568
,273357
,252281
group #57,
,226807
,239170
,223403
group #58,
,202973
,205945
,268644
group #59,
,255179
,217433
,235282
group #60,
,225743
,272052
,256553
group #61,
,256385
,238523
,214573
group #62,
,217056
,235744
,252556
group #63,
,254520
,271279
,226826
group #64,
,215785
,217316
,225125
group #65,
,227826
,223566
,273682
group #66,
,247875
,208003
,215913
group #67,
,196683
,256378
,271278
group #68,
,225749
,216864
,245052
group #69,
,255019
,212686
,237289
group #70,
,217360
,273563
,224847
group #71,
,268133
,205656
,271602
group #72,
,267213
,228358
,271420
group #73,
,227775
,235117
,240375
group #74,
,227564
,208359
,263851
group #75,
,271423
,238497
,271963
group #76,
,223606
,Soheil.Rayatdoost@unige.ch
,273545
group #77,
,272620
,224684
,205597
group #78,
,255081
,213618
,268618
group #79,
,269219
,268621
,269096
group #80,
,203917
,255768
,227370
group #81,
,263671
,204874
,273247
group #82,
,268907
,228197
,194836
group #83,
,256197
,227909
,193491
group #84,
,240268
,268464
,214920
group #85,
,240377
,239366
,225483
group #86,
,228184
,268005
,251558
group #87,
,225203
,273806
,227590
group #88,
,205008
,217422
,271718
group #89,
,216147
,224553
,257819
group #90,
,273006
,272025
,244796
group #91,
,271861
,226638
,268666
group #92,
,259745
,
,237677
group #93,
,225223
,268746
,271856
group #94,
,227950
,268635
,256592
group #95,
,192555
,217549
,221053
group #96,
,226371
,270988
,mathieu.schopfer@unil.ch
group #97,
,guillaume@demontauzon.ch
,tatiana.fountoukidou@artorg.unibe.ch
,laurent.lejeune@artorg.unibe.ch
group #98,
,paul@nanolive.ch
,269973
,124369
