Id,Prediction
350000,-1
350001,1
350002,-1
350003,-1
350004,-1
350005,1
350006,1
350007,1
350008,-1
350009,-1
350010,-1
350011,1
350012,-1
350013,-1
350014,-1
350015,-1
350016,1
350017,-1
350018,-1
350019,-1
350020,-1
350021,-1
350022,-1
350023,1
350024,-1
350025,-1
350026,-1
350027,1
350028,1
350029,1
350030,-1
350031,1
350032,1
350033,-1
350034,-1
350035,-1
350036,-1
350037,-1
350038,-1
350039,-1
350040,-1
350041,-1
350042,1
350043,-1
350044,-1
350045,-1
350046,1
350047,-1
350048,-1
350049,-1
350050,-1
350051,1
350052,-1
350053,-1
350054,-1
350055,-1
350056,-1
350057,-1
350058,1
350059,-1
350060,-1
350061,-1
350062,-1
350063,-1
350064,-1
350065,-1
350066,-1
350067,-1
350068,1
350069,-1
350070,1
350071,-1
350072,-1
350073,-1
350074,-1
350075,-1
350076,-1
350077,-1
350078,1
350079,-1
350080,-1
350081,-1
350082,1
350083,1
350084,-1
350085,-1
350086,-1
350087,-1
350088,-1
350089,-1
350090,-1
350091,-1
350092,-1
350093,1
350094,1
350095,-1
350096,-1
350097,-1
350098,-1
350099,-1
350100,-1
350101,-1
350102,-1
350103,1
350104,-1
350105,-1
350106,1
350107,1
350108,-1
350109,-1
350110,-1
350111,1
350112,-1
350113,-1
350114,-1
350115,-1
350116,-1
350117,-1
350118,-1
350119,1
350120,1
350121,-1
350122,-1
350123,-1
350124,-1
350125,1
350126,-1
350127,-1
350128,-1
350129,-1
350130,-1
350131,-1
350132,-1
350133,-1
350134,-1
350135,1
350136,-1
350137,-1
350138,-1
350139,-1
350140,-1
350141,-1
350142,-1
350143,-1
350144,-1
350145,-1
350146,-1
350147,1
350148,1
350149,-1
350150,-1
350151,-1
350152,-1
350153,-1
350154,1
350155,-1
350156,-1
350157,-1
350158,1
350159,-1
350160,-1
350161,-1
350162,-1
350163,-1
350164,-1
350165,-1
350166,1
350167,1
350168,-1
350169,1
350170,-1
350171,-1
350172,-1
350173,-1
350174,-1
350175,-1
350176,-1
350177,-1
350178,-1
350179,-1
350180,-1
350181,-1
350182,1
350183,-1
350184,-1
350185,-1
350186,-1
350187,1
350188,-1
350189,-1
350190,-1
350191,-1
350192,1
350193,-1
350194,-1
350195,-1
350196,-1
350197,-1
350198,-1
350199,1
350200,1
350201,1
350202,1
350203,-1
350204,1
350205,1
350206,-1
350207,-1
350208,-1
350209,-1
350210,-1
350211,-1
350212,-1
350213,-1
350214,-1
350215,-1
350216,-1
350217,-1
350218,-1
350219,1
350220,1
350221,1
350222,-1
350223,-1
350224,1
350225,-1
350226,-1
350227,-1
350228,-1
350229,-1
350230,-1
350231,-1
350232,-1
350233,1
350234,-1
350235,1
350236,1
350237,-1
350238,1
350239,-1
350240,-1
350241,-1
350242,-1
350243,-1
350244,-1
350245,1
350246,1
350247,-1
350248,-1
350249,-1
350250,-1
350251,-1
350252,-1
350253,-1
350254,-1
350255,-1
350256,-1
350257,-1
350258,-1
350259,1
350260,1
350261,1
350262,-1
350263,-1
350264,1
350265,-1
350266,-1
350267,-1
350268,-1
350269,1
350270,-1
350271,-1
350272,-1
350273,-1
350274,-1
350275,-1
350276,-1
350277,-1
350278,-1
350279,1
350280,1
350281,-1
350282,1
350283,-1
350284,-1
350285,-1
350286,-1
350287,-1
350288,-1
350289,-1
350290,-1
350291,-1
350292,-1
350293,-1
350294,1
350295,-1
350296,1
350297,-1
350298,-1
350299,-1
350300,-1
350301,-1
350302,-1
350303,1
350304,-1
350305,-1
350306,1
350307,1
350308,1
350309,-1
350310,-1
350311,-1
350312,-1
350313,-1
350314,-1
350315,1
350316,1
350317,-1
350318,-1
350319,1
350320,-1
350321,-1
350322,1
350323,-1
350324,-1
350325,-1
350326,-1
350327,-1
350328,-1
350329,-1
350330,-1
350331,-1
350332,-1
350333,-1
350334,-1
350335,-1
350336,-1
350337,-1
350338,-1
350339,1
350340,1
350341,1
350342,-1
350343,-1
350344,-1
350345,-1
350346,-1
350347,-1
350348,-1
350349,-1
350350,-1
350351,1
350352,-1
350353,-1
350354,1
350355,-1
350356,-1
350357,-1
350358,-1
350359,-1
350360,-1
350361,-1
350362,-1
350363,-1
350364,1
350365,1
350366,-1
350367,1
350368,-1
350369,-1
350370,-1
350371,-1
350372,-1
350373,-1
350374,-1
350375,1
350376,-1
350377,1
350378,-1
350379,-1
350380,-1
350381,-1
350382,-1
350383,1
350384,-1
350385,-1
350386,-1
350387,-1
350388,1
350389,-1
350390,-1
350391,-1
350392,-1
350393,1
350394,-1
350395,1
350396,-1
350397,-1
350398,1
350399,1
350400,1
350401,-1
350402,1
350403,-1
350404,-1
350405,-1
350406,-1
350407,-1
350408,-1
350409,-1
350410,-1
350411,-1
350412,-1
350413,1
350414,1
350415,-1
350416,-1
350417,-1
350418,-1
350419,-1
350420,1
350421,-1
350422,1
350423,1
350424,-1
350425,-1
350426,-1
350427,-1
350428,1
350429,-1
350430,-1
350431,1
350432,-1
350433,-1
350434,-1
350435,-1
350436,1
350437,1
350438,-1
350439,-1
350440,-1
350441,-1
350442,1
350443,1
350444,-1
350445,-1
350446,-1
350447,-1
350448,-1
350449,-1
350450,1
350451,-1
350452,-1
350453,-1
350454,-1
350455,-1
350456,-1
350457,-1
350458,-1
350459,-1
350460,-1
350461,-1
350462,1
350463,-1
350464,-1
350465,1
350466,-1
350467,-1
350468,1
350469,1
350470,-1
350471,-1
350472,-1
350473,-1
350474,-1
350475,-1
350476,-1
350477,1
350478,1
350479,-1
350480,-1
350481,1
350482,1
350483,-1
350484,-1
350485,-1
350486,-1
350487,-1
350488,-1
350489,1
350490,-1
350491,-1
350492,-1
350493,-1
350494,-1
350495,-1
350496,1
350497,1
350498,1
350499,1
350500,-1
350501,-1
350502,1
350503,-1
350504,1
350505,-1
350506,-1
350507,1
350508,-1
350509,-1
350510,1
350511,-1
350512,1
350513,-1
350514,1
350515,-1
350516,-1
350517,-1
350518,-1
350519,1
350520,-1
350521,1
350522,1
350523,-1
350524,-1
350525,1
350526,-1
350527,-1
350528,-1
350529,1
350530,-1
350531,1
350532,1
350533,-1
350534,1
350535,1
350536,-1
350537,-1
350538,-1
350539,-1
350540,-1
350541,-1
350542,-1
350543,-1
350544,-1
350545,-1
350546,-1
350547,-1
350548,-1
350549,-1
350550,-1
350551,-1
350552,1
350553,-1
350554,1
350555,-1
350556,-1
350557,1
350558,-1
350559,-1
350560,-1
350561,-1
350562,-1
350563,1
350564,1
350565,-1
350566,1
350567,-1
350568,-1
350569,1
350570,-1
350571,-1
350572,1
350573,-1
350574,-1
350575,1
350576,-1
350577,-1
350578,-1
350579,-1
350580,-1
350581,1
350582,-1
350583,-1
350584,1
350585,-1
350586,-1
350587,-1
350588,-1
350589,-1
350590,-1
350591,-1
350592,-1
350593,-1
350594,-1
350595,1
350596,-1
350597,1
350598,-1
350599,-1
350600,1
350601,-1
350602,-1
350603,-1
350604,-1
350605,-1
350606,-1
350607,-1
350608,-1
350609,-1
350610,1
350611,-1
350612,-1
350613,-1
350614,-1
350615,1
350616,-1
350617,-1
350618,-1
350619,-1
350620,-1
350621,1
350622,-1
350623,-1
350624,-1
350625,-1
350626,-1
350627,1
350628,-1
350629,-1
350630,-1
350631,-1
350632,1
350633,1
350634,-1
350635,-1
350636,-1
350637,-1
350638,-1
350639,1
350640,-1
350641,1
350642,-1
350643,-1
350644,-1
350645,-1
350646,1
350647,1
350648,-1
350649,1
350650,-1
350651,1
350652,-1
350653,-1
350654,-1
350655,1
350656,-1
350657,-1
350658,1
350659,1
350660,-1
350661,-1
350662,-1
350663,1
350664,-1
350665,-1
350666,-1
350667,-1
350668,1
350669,1
350670,-1
350671,1
350672,1
350673,-1
350674,-1
350675,-1
350676,1
350677,-1
350678,-1
350679,-1
350680,1
350681,-1
350682,-1
350683,1
350684,-1
350685,-1
350686,-1
350687,-1
350688,-1
350689,-1
350690,-1
350691,-1
350692,-1
350693,-1
350694,-1
350695,-1
350696,-1
350697,1
350698,1
350699,1
350700,-1
350701,-1
350702,-1
350703,-1
350704,1
350705,-1
350706,-1
350707,-1
350708,-1
350709,-1
350710,-1
350711,1
350712,-1
350713,-1
350714,-1
350715,1
350716,-1
350717,-1
350718,-1
350719,-1
350720,-1
350721,1
350722,-1
350723,1
350724,-1
350725,-1
350726,-1
350727,-1
350728,-1
350729,-1
350730,-1
350731,-1
350732,-1
350733,-1
350734,1
350735,1
350736,1
350737,-1
350738,-1
350739,-1
350740,-1
350741,1
350742,-1
350743,1
350744,1
350745,-1
350746,-1
350747,-1
350748,-1
350749,1
350750,-1
350751,-1
350752,-1
350753,1
350754,-1
350755,-1
350756,-1
350757,-1
350758,-1
350759,-1
350760,-1
350761,-1
350762,-1
350763,1
350764,-1
350765,-1
350766,1
350767,-1
350768,-1
350769,-1
350770,1
350771,-1
350772,1
350773,1
350774,-1
350775,-1
350776,1
350777,-1
350778,-1
350779,1
350780,-1
350781,1
350782,1
350783,-1
350784,-1
350785,-1
350786,1
350787,-1
350788,-1
350789,-1
350790,-1
350791,-1
350792,-1
350793,-1
350794,-1
350795,-1
350796,-1
350797,-1
350798,1
350799,-1
350800,1
350801,-1
350802,-1
350803,-1
350804,-1
350805,1
350806,-1
350807,-1
350808,-1
350809,-1
350810,-1
350811,-1
350812,1
350813,1
350814,-1
350815,1
350816,1
350817,-1
350818,-1
350819,-1
350820,-1
350821,-1
350822,-1
350823,-1
350824,-1
350825,-1
350826,-1
350827,1
350828,-1
350829,1
350830,-1
350831,-1
350832,-1
350833,-1
350834,-1
350835,1
350836,-1
350837,-1
350838,-1
350839,1
350840,-1
350841,-1
350842,1
350843,1
350844,-1
350845,-1
350846,-1
350847,1
350848,-1
350849,-1
350850,-1
350851,-1
350852,-1
350853,-1
350854,-1
350855,-1
350856,-1
350857,-1
350858,-1
350859,1
350860,-1
350861,1
350862,-1
350863,-1
350864,-1
350865,-1
350866,-1
350867,-1
350868,1
350869,-1
350870,1
350871,-1
350872,-1
350873,-1
350874,1
350875,-1
350876,-1
350877,-1
350878,-1
350879,-1
350880,-1
350881,-1
350882,-1
350883,1
350884,-1
350885,-1
350886,1
350887,1
350888,-1
350889,-1
350890,1
350891,-1
350892,-1
350893,1
350894,-1
350895,-1
350896,-1
350897,1
350898,-1
350899,-1
350900,-1
350901,1
350902,-1
350903,-1
350904,-1
350905,-1
350906,-1
350907,-1
350908,-1
350909,-1
350910,1
350911,-1
350912,-1
350913,-1
350914,-1
350915,-1
350916,-1
350917,-1
350918,-1
350919,-1
350920,1
350921,-1
350922,-1
350923,-1
350924,-1
350925,1
350926,-1
350927,1
350928,1
350929,1
350930,-1
350931,-1
350932,1
350933,1
350934,-1
350935,1
350936,1
350937,-1
350938,1
350939,1
350940,-1
350941,-1
350942,1
350943,-1
350944,-1
350945,-1
350946,1
350947,-1
350948,1
350949,1
350950,-1
350951,1
350952,1
350953,-1
350954,-1
350955,-1
350956,-1
350957,-1
350958,1
350959,-1
350960,-1
350961,-1
350962,-1
350963,1
350964,-1
350965,1
350966,-1
350967,-1
350968,-1
350969,-1
350970,-1
350971,1
350972,-1
350973,-1
350974,-1
350975,-1
350976,-1
350977,-1
350978,-1
350979,-1
350980,-1
350981,-1
350982,-1
350983,-1
350984,-1
350985,-1
350986,-1
350987,-1
350988,-1
350989,1
350990,-1
350991,-1
350992,-1
350993,-1
350994,-1
350995,1
350996,-1
350997,-1
350998,-1
350999,-1
351000,-1
351001,-1
351002,-1
351003,1
351004,1
351005,-1
351006,-1
351007,1
351008,1
351009,-1
351010,-1
351011,-1
351012,-1
351013,-1
351014,-1
351015,-1
351016,-1
351017,-1
351018,-1
351019,-1
351020,-1
351021,-1
351022,-1
351023,-1
351024,1
351025,1
351026,-1
351027,-1
351028,-1
351029,-1
351030,-1
351031,-1
351032,-1
351033,-1
351034,1
351035,-1
351036,1
351037,1
351038,-1
351039,-1
351040,1
351041,-1
351042,-1
351043,-1
351044,-1
351045,1
351046,-1
351047,-1
351048,1
351049,-1
351050,1
351051,-1
351052,-1
351053,-1
351054,1
351055,-1
351056,1
351057,-1
351058,1
351059,-1
351060,-1
351061,1
351062,-1
351063,-1
351064,1
351065,1
351066,-1
351067,-1
351068,-1
351069,-1
351070,-1
351071,-1
351072,-1
351073,-1
351074,-1
351075,-1
351076,-1
351077,-1
351078,-1
351079,-1
351080,-1
351081,-1
351082,-1
351083,-1
351084,-1
351085,-1
351086,-1
351087,-1
351088,-1
351089,-1
351090,-1
351091,-1
351092,-1
351093,-1
351094,-1
351095,-1
351096,1
351097,-1
351098,-1
351099,-1
351100,-1
351101,1
351102,-1
351103,-1
351104,-1
351105,1
351106,1
351107,-1
351108,1
351109,-1
351110,-1
351111,-1
351112,1
351113,-1
351114,-1
351115,-1
351116,1
351117,-1
351118,1
351119,1
351120,-1
351121,-1
351122,1
351123,1
351124,-1
351125,-1
351126,1
351127,-1
351128,-1
351129,1
351130,-1
351131,1
351132,-1
351133,1
351134,-1
351135,-1
351136,-1
351137,-1
351138,-1
351139,-1
351140,1
351141,-1
351142,-1
351143,1
351144,-1
351145,1
351146,1
351147,-1
351148,1
351149,-1
351150,-1
351151,-1
351152,-1
351153,-1
351154,-1
351155,1
351156,1
351157,-1
351158,1
351159,-1
351160,-1
351161,-1
351162,-1
351163,-1
351164,-1
351165,-1
351166,-1
351167,-1
351168,-1
351169,-1
351170,1
351171,-1
351172,1
351173,-1
351174,-1
351175,-1
351176,-1
351177,1
351178,-1
351179,-1
351180,-1
351181,-1
351182,-1
351183,-1
351184,-1
351185,1
351186,-1
351187,-1
351188,-1
351189,1
351190,-1
351191,-1
351192,-1
351193,-1
351194,-1
351195,1
351196,-1
351197,1
351198,-1
351199,-1
351200,-1
351201,1
351202,1
351203,-1
351204,-1
351205,-1
351206,-1
351207,-1
351208,1
351209,-1
351210,1
351211,1
351212,-1
351213,-1
351214,-1
351215,-1
351216,-1
351217,1
351218,-1
351219,-1
351220,-1
351221,-1
351222,1
351223,1
351224,-1
351225,1
351226,-1
351227,-1
351228,1
351229,1
351230,1
351231,-1
351232,-1
351233,-1
351234,-1
351235,-1
351236,-1
351237,-1
351238,-1
351239,-1
351240,-1
351241,-1
351242,-1
351243,1
351244,-1
351245,1
351246,1
351247,-1
351248,-1
351249,-1
351250,1
351251,-1
351252,-1
351253,-1
351254,-1
351255,-1
351256,-1
351257,-1
351258,-1
351259,-1
351260,1
351261,-1
351262,1
351263,-1
351264,-1
351265,-1
351266,-1
351267,-1
351268,1
351269,-1
351270,1
351271,-1
351272,-1
351273,-1
351274,-1
351275,-1
351276,1
351277,-1
351278,1
351279,-1
351280,1
351281,1
351282,1
351283,-1
351284,-1
351285,-1
351286,-1
351287,-1
351288,1
351289,-1
351290,-1
351291,-1
351292,-1
351293,-1
351294,-1
351295,-1
351296,-1
351297,-1
351298,-1
351299,1
351300,-1
351301,-1
351302,1
351303,-1
351304,-1
351305,-1
351306,-1
351307,-1
351308,-1
351309,-1
351310,-1
351311,-1
351312,-1
351313,-1
351314,1
351315,-1
351316,-1
351317,-1
351318,-1
351319,-1
351320,-1
351321,-1
351322,-1
351323,-1
351324,-1
351325,-1
351326,-1
351327,-1
351328,-1
351329,-1
351330,1
351331,1
351332,1
351333,1
351334,1
351335,-1
351336,-1
351337,1
351338,-1
351339,-1
351340,-1
351341,1
351342,-1
351343,1
351344,-1
351345,-1
351346,1
351347,-1
351348,-1
351349,-1
351350,-1
351351,-1
351352,-1
351353,1
351354,-1
351355,-1
351356,-1
351357,-1
351358,1
351359,1
351360,-1
351361,-1
351362,-1
351363,1
351364,1
351365,1
351366,-1
351367,1
351368,1
351369,1
351370,-1
351371,1
351372,1
351373,-1
351374,-1
351375,-1
351376,-1
351377,-1
351378,1
351379,1
351380,1
351381,-1
351382,-1
351383,-1
351384,-1
351385,1
351386,-1
351387,-1
351388,-1
351389,-1
351390,-1
351391,-1
351392,-1
351393,-1
351394,1
351395,-1
351396,-1
351397,-1
351398,-1
351399,-1
351400,-1
351401,-1
351402,-1
351403,1
351404,-1
351405,-1
351406,-1
351407,1
351408,-1
351409,-1
351410,1
351411,-1
351412,1
351413,-1
351414,-1
351415,1
351416,1
351417,1
351418,-1
351419,-1
351420,1
351421,1
351422,-1
351423,-1
351424,1
351425,1
351426,-1
351427,-1
351428,-1
351429,1
351430,-1
351431,-1
351432,-1
351433,-1
351434,1
351435,1
351436,-1
351437,-1
351438,-1
351439,-1
351440,-1
351441,-1
351442,-1
351443,-1
351444,-1
351445,-1
351446,-1
351447,-1
351448,-1
351449,1
351450,1
351451,-1
351452,-1
351453,-1
351454,-1
351455,-1
351456,-1
351457,-1
351458,-1
351459,1
351460,-1
351461,-1
351462,-1
351463,-1
351464,-1
351465,-1
351466,-1
351467,-1
351468,-1
351469,-1
351470,-1
351471,-1
351472,-1
351473,-1
351474,-1
351475,-1
351476,-1
351477,-1
351478,-1
351479,-1
351480,-1
351481,-1
351482,-1
351483,-1
351484,-1
351485,1
351486,1
351487,1
351488,-1
351489,-1
351490,-1
351491,-1
351492,-1
351493,1
351494,1
351495,-1
351496,-1
351497,-1
351498,-1
351499,-1
351500,-1
351501,-1
351502,-1
351503,-1
351504,-1
351505,-1
351506,-1
351507,-1
351508,-1
351509,-1
351510,-1
351511,-1
351512,-1
351513,-1
351514,-1
351515,1
351516,1
351517,-1
351518,-1
351519,-1
351520,-1
351521,-1
351522,-1
351523,-1
351524,1
351525,-1
351526,-1
351527,-1
351528,1
351529,1
351530,1
351531,-1
351532,1
351533,-1
351534,-1
351535,1
351536,-1
351537,-1
351538,1
351539,-1
351540,1
351541,-1
351542,-1
351543,-1
351544,-1
351545,-1
351546,-1
351547,-1
351548,-1
351549,-1
351550,-1
351551,-1
351552,1
351553,1
351554,-1
351555,-1
351556,-1
351557,-1
351558,-1
351559,-1
351560,-1
351561,-1
351562,1
351563,1
351564,1
351565,-1
351566,-1
351567,-1
351568,1
351569,-1
351570,-1
351571,-1
351572,-1
351573,-1
351574,-1
351575,-1
351576,-1
351577,-1
351578,1
351579,-1
351580,-1
351581,1
351582,-1
351583,1
351584,-1
351585,-1
351586,-1
351587,-1
351588,1
351589,-1
351590,-1
351591,-1
351592,-1
351593,-1
351594,1
351595,-1
351596,-1
351597,-1
351598,-1
351599,-1
351600,-1
351601,-1
351602,-1
351603,-1
351604,-1
351605,1
351606,-1
351607,-1
351608,-1
351609,-1
351610,-1
351611,1
351612,-1
351613,1
351614,-1
351615,-1
351616,1
351617,-1
351618,-1
351619,1
351620,-1
351621,-1
351622,-1
351623,-1
351624,-1
351625,1
351626,1
351627,-1
351628,-1
351629,-1
351630,-1
351631,-1
351632,-1
351633,1
351634,-1
351635,-1
351636,1
351637,-1
351638,1
351639,1
351640,-1
351641,-1
351642,1
351643,-1
351644,-1
351645,-1
351646,1
351647,-1
351648,-1
351649,-1
351650,-1
351651,-1
351652,-1
351653,-1
351654,-1
351655,1
351656,1
351657,-1
351658,-1
351659,-1
351660,-1
351661,1
351662,-1
351663,-1
351664,1
351665,1
351666,-1
351667,-1
351668,-1
351669,-1
351670,-1
351671,-1
351672,-1
351673,1
351674,-1
351675,-1
351676,1
351677,-1
351678,-1
351679,-1
351680,-1
351681,1
351682,-1
351683,-1
351684,-1
351685,1
351686,-1
351687,-1
351688,1
351689,-1
351690,-1
351691,-1
351692,-1
351693,-1
351694,-1
351695,-1
351696,-1
351697,-1
351698,-1
351699,-1
351700,-1
351701,-1
351702,1
351703,-1
351704,-1
351705,-1
351706,1
351707,-1
351708,-1
351709,1
351710,-1
351711,1
351712,1
351713,-1
351714,1
351715,-1
351716,1
351717,-1
351718,-1
351719,-1
351720,1
351721,-1
351722,-1
351723,-1
